name,value,year,lastValue,rank
Deutsch,71,2013,0,1
Deutsch,71,2014,71,1
Deutsch,81,2015,71,1
Deutsch,76,2016,81,1
Deutsch,71,2017,76,1
Deutsch,59,2018,71,1
Deutsch,70,2019,59,1
Ausländisch,3,2013,0,2
Ausländisch,9,2014,3,2
Ausländisch,9,2015,9,2
Ausländisch,9,2016,9,2
Ausländisch,10,2017,9,2
Ausländisch,6,2018,10,2
Ausländisch,12,2019,6,2
