name,value,year,lastValue,rank
Männlich,61,2013,0,1
Männlich,60,2014,61,1
Männlich,69,2015,60,1
Männlich,65,2016,69,1
Männlich,59,2017,65,1
Männlich,47,2018,59,1
Männlich,57,2019,47,1
Weiblich,13,2013,0,2
Weiblich,20,2014,13,2
Weiblich,21,2015,20,2
Weiblich,20,2016,21,2
Weiblich,22,2017,20,2
Weiblich,18,2018,22,2
Weiblich,25,2019,18,2
